City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Oga,IT,51.96,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
99,Zhuji,CN,65.86,broken clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
101,Mahibadhoo,MV,82.49,broken clouds,3.7833,72.9667,Omadhoo Inn
102,Yenagoa,NG,84.6,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
103,Lerwick,GB,55.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
104,Ancud,CL,47.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
105,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Maniitsoq,GL,40.03,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
107,Vila Franca Do Campo,PT,73.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
108,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
109,Maloy,NO,48.72,light rain,61.9353,5.1136,Torget Hotell
110,Kazachinskoye,RU,36.09,overcast clouds,57.6953,93.2761,"Tayga, Gostinitsa"
112,Vadso,NO,50.16,clear sky,70.0744,29.7487,Scandic Vadsø
113,Meulaboh,ID,78.6,overcast clouds,4.1363,96.1285,Kost Pria
114,Keskin,TR,67.91,clear sky,39.6731,33.6136,Keskin Erkek Ogrenci Yurdu
116,Puerto Leguizamo,CO,71.02,overcast clouds,-0.1934,-74.7819,la casona de juancho
117,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
118,San Joaquin,US,68.25,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
119,Salinopolis,BR,82.74,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
120,Butaritari,KI,81.43,clear sky,3.0707,172.7902,Isles Sunset Lodge
121,Lagoa,PT,70.65,broken clouds,39.05,-27.9833,Casa Das Faias
122,Fort Nelson,CA,36.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
123,Kavieng,PG,82.54,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
124,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
125,Sinnamary,GF,82.09,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
127,Manokwari,ID,79.18,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
128,Tiksi,RU,33.35,few clouds,71.6872,128.8694,Arktika
129,Presidente Prudente,BR,65.75,clear sky,-22.1256,-51.3889,Hotel Nações
130,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
131,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,Le four à pain
132,Tambura,SS,86.88,scattered clouds,5.6,27.4667,Rikito Lodge
133,Qaanaaq,GL,26.71,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
134,Kodiak,US,38.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn
135,Santa Cruz,BO,75.25,smoke,-17.8,-63.1667,Aviador Hotel Boutique
136,Guerrero Negro,MX,71.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
137,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
138,Sao Felix Do Xingu,BR,82.15,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
139,Port Lincoln,AU,56.68,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
140,Cuddapah,IN,90.34,overcast clouds,14.4667,78.8167,Swagath Residency A/C - OYO Rooms
141,Tecolutla,MX,78.66,few clouds,20.4833,-97.0167,Hotel Plaza Marsol
142,Skjervoy,NO,55.4,scattered clouds,70.0311,20.9714,Skjervøy fiskecamp AS
143,Antofagasta,CL,56.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
144,Fortuna,US,46.74,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
145,Kapaa,US,76.98,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
146,Panama City,PA,80.44,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
147,Acarau,BR,84.65,few clouds,-2.8856,-40.12,castelo pizzaria
148,Lakes Entrance,AU,46.17,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
149,Coxim,BR,86.27,broken clouds,-18.5067,-54.76,Rancho Da Curica
150,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
151,Jasper,US,65.23,clear sky,37.2001,-94.3502,Guest House Motel
152,Puerto Madero,MX,79.0,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
153,Santo Tomas,PH,77.25,heavy intensity rain,14.1079,121.1414,Microtel by Wyndham Batangas
154,Wanning,CN,79.16,scattered clouds,18.8003,110.3967,Paradise Hotel
155,New Norfolk,AU,49.5,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
156,Yulara,AU,70.16,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
157,Angostura,MX,77.0,scattered clouds,25.3667,-108.1833,Rancho Jose Maria Ang.
158,Norman Wells,CA,23.04,few clouds,65.282,-126.8329,Heritage Hotel
160,Taksimo,RU,34.47,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
161,Wageningen,NL,64.89,few clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
162,Trinidad,BO,75.18,smoke,-14.8333,-64.9,Hotel Piesta
163,Muncar,ID,77.4,overcast clouds,-8.4333,114.3333,Zaky Homestay
164,Lukovetskiy,RU,47.46,overcast clouds,64.2956,41.9211,Provintsiya
166,Lebu,CL,46.06,broken clouds,-37.6167,-73.65,Hostal Las Lilas
167,Diffa,NE,98.42,broken clouds,13.3154,12.6113,ProDAF/Diffa
168,Kristianstad,SE,63.36,broken clouds,56.0313,14.1524,First Hotel Christian IV
169,Raudeberg,NO,47.95,light rain,61.9875,5.1352,Nordre Silda.
170,Banikoara,BJ,88.09,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
172,Hithadhoo,MV,76.93,overcast clouds,-0.6,73.0833,Scoop Guest House
173,Murfreesboro,US,68.92,overcast clouds,35.8456,-86.3903,"Holiday Inn Express Murfreesboro Central, an IHG Hotel"
174,Iqaluit,CA,33.53,overcast clouds,63.7506,-68.5145,Frobisher Inn
175,Belen,TR,77.14,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
176,Severo-Kurilsk,RU,50.65,overcast clouds,50.6789,156.125,Kak Doma
177,Carbondale,US,64.06,clear sky,37.7273,-89.2168,Best Western Saluki Inn
178,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
179,Kupang,ID,79.93,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
180,Innisfail,AU,74.88,broken clouds,-17.5333,146.0333,Moondarra Motel
181,Hokitika,NZ,53.62,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
182,Port Elizabeth,ZA,64.69,few clouds,-33.918,25.5701,39 On Nile Guest House
183,Dongsheng,CN,63.57,clear sky,39.8161,109.9776,Crowne Plaza Ordos
184,Rocha,UY,55.87,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
185,Voh,NC,71.89,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
186,Axim,GH,82.31,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
187,Nantucket,US,68.11,clear sky,41.2835,-70.0995,Jared Coffin House
190,Odweyne,SO,85.6,scattered clouds,9.4092,45.064,Eng Hiirey House
191,Port Hardy,CA,50.0,mist,50.6996,-127.4199,Airport Inn-Port Hardy
192,Bilibino,RU,26.04,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
193,Gornopravdinsk,RU,38.93,overcast clouds,60.05,69.9,Hostel
194,Nanortalik,GL,49.98,light rain,60.1432,-45.2371,Hotel Kap Farvel
196,Hamilton,US,64.51,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
197,Goderich,CA,59.92,overcast clouds,43.7501,-81.7165,Harmony Inn
198,Athabasca,CA,34.21,scattered clouds,54.7169,-113.2854,Athabasca Lodge Motel
199,Huaihua,CN,69.49,overcast clouds,27.5494,109.9592,怀化天庆大酒店
200,Mezoszilas,HU,59.83,overcast clouds,46.8111,18.4779,Tóthbirtok stég
201,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
202,Isa Khel,AF,90.48,clear sky,36.6702,68.8443,Khalid Home
203,Mocuba,MZ,97.47,clear sky,-16.8392,36.9856,Phama Lodge
204,Shunyi,CN,60.75,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
205,Moose Factory,CA,42.78,clear sky,51.2585,-80.6094,Moosonee Lilypad
206,Faanui,PF,77.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Phan Thiet,VN,79.99,light rain,10.9333,108.1,Hotel Saigon-PT
208,Nuuk,GL,43.88,broken clouds,64.1835,-51.7216,Vandrehuset
209,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
210,Lata,PT,68.92,broken clouds,40.1629,-8.3327,Casa Maquia
211,Carauari,BR,76.15,overcast clouds,-4.8828,-66.8958,Hotel Fellip
212,Gizo,SB,81.99,light rain,-8.103,156.8419,Imagination Island
213,Cherskiy,RU,30.58,overcast clouds,68.75,161.3,Gostinitsa
214,Karratha,AU,79.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
215,Megion,RU,33.82,overcast clouds,61.0296,76.1136,Komfort Hotel
217,Abeche,TD,95.02,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
218,North Bend,US,52.86,fog,43.4065,-124.2243,Red Lion Hotel Coos Bay
220,Altamont,US,52.79,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
221,Plateros,MX,47.52,clear sky,23.2167,-102.85,Hotel Mardesant
223,Pindiga,NG,85.28,overcast clouds,9.9833,10.9333,Accommodation Center
224,Pacific Grove,US,60.03,overcast clouds,36.6177,-121.9166,Lovers Point Inn
225,Chake Chake,TZ,79.02,light rain,-5.2459,39.7666,Pemba Sea View Hotel
226,Bardiyah,LY,77.38,clear sky,31.7561,25.0865,بورتو بردية
228,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Kargil,IN,40.59,overcast clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
230,Kerman,IR,87.66,clear sky,30.2832,57.0788,هتل آپارتمان آسام
231,Okmulgee,US,71.38,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
232,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
234,Nueve De Julio,AR,54.97,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
235,Ciudad Bolivar,VE,80.24,overcast clouds,8.1222,-63.5497,Hotel Edi
236,Pauini,BR,79.83,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
237,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
238,Saint George,US,63.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
239,Sao Jose Da Coroa Grande,BR,80.53,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
241,Mustafakemalpasa,TR,71.65,clear sky,40.0353,28.4117,Sultan Hotel
242,Torbay,CA,58.57,broken clouds,47.6666,-52.7314,Gallows Cove
243,Coihaique,CL,42.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
244,Carutapera,BR,84.96,few clouds,-1.195,-46.02,Lidera
245,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
246,Half Moon Bay,US,62.49,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
247,Mahajanga,MG,89.62,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
248,Tournon-Sur-Rhone,FR,68.34,few clouds,45.0667,4.8333,Fac & Spera Hôtel et Spa
249,Hofn,IS,45.52,few clouds,64.2539,-15.2082,Hótel Höfn
250,Kropotkin,RU,64.67,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
251,Cape Coast,GH,80.15,light rain,5.1053,-1.2466,Samrit Hotel
252,Constitucion,CL,50.43,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
254,Muborak,UZ,91.94,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
255,Mindelo,CV,83.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
256,Anadyr,RU,30.7,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
257,Klaksvik,FO,50.92,broken clouds,62.2266,-6.589,Airbnb rooms
258,Rawson,AR,52.32,few clouds,-43.3002,-65.1023,Hosteria Sampedro
259,Merrill,US,55.17,overcast clouds,45.1805,-89.6835,Prairie Motel
260,Shuangcheng,CN,65.88,clear sky,45.35,126.2833,Xingcheng Hotel
261,Kapit,MY,76.46,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
262,Stratford,US,63.95,broken clouds,41.1845,-73.1332,Residence Inn by Marriott Milford
264,Mari-Turek,RU,49.35,moderate rain,56.7895,49.6235,Berloga Khismata
265,Santa Isabel,BR,60.51,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
266,Khasan,RU,60.13,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
267,Verin,ES,65.57,clear sky,41.9415,-7.4381,Parador de Verín
269,Shieli,KZ,92.23,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
270,Pustomyty,UA,56.12,overcast clouds,49.7153,23.913,Lake District
271,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
272,Ixtapa,MX,78.22,few clouds,20.7,-105.2,hotel la terminal
273,Saint Anthony,US,55.0,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
274,Sitka,US,55.29,mist,57.0531,-135.33,Westmark Sitka
277,Havre-Saint-Pierre,CA,43.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau 2
278,Gardez,AF,70.36,clear sky,33.5974,69.2259,Gardezi Home
279,Yar-Sale,RU,35.58,overcast clouds,66.8333,70.8333,Yalemd
280,Pisco,PE,59.05,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
281,Azovo,RU,51.55,overcast clouds,54.6997,73.0237,Osten Hof
282,Ornskoldsvik,SE,54.55,overcast clouds,63.2909,18.7153,ファーストホテル スタット
283,Urusha,RU,38.39,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
284,Shahr-E Babak,IR,84.47,clear sky,30.1165,55.1186,سلاطین مس و نقره
285,Fare,PF,77.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
286,Tazmalt,DZ,78.3,light rain,36.3868,4.3989,Hôtel Numédia
287,Porto Santo,PT,73.78,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
288,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
289,Bonavista,CA,57.04,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
290,Harindanga,IN,82.27,overcast clouds,22.0383,88.3214,Hasanur Builders
291,Hervey Bay,AU,68.29,clear sky,-25.2986,152.8535,Shelly Bay Resort
292,Abu Dhabi,AE,96.91,clear sky,24.4667,54.3667,Beach Rotana
293,Tra Vinh,VN,78.91,moderate rain,9.9347,106.3453,Hồng Ân
294,Gat,IL,96.4,clear sky,31.61,34.7642,OlusHome
295,Nador,MA,82.47,few clouds,35.174,-2.9287,Hôtel La Giralda
296,Tazovskiy,RU,31.66,overcast clouds,67.4667,78.7,TazHostel
298,Estelle,US,78.78,mist,29.8458,-90.1067,Ohio
299,Broome,US,55.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
300,Prachin Buri,TH,73.87,moderate rain,14.0833,101.6667,Hillside Country Home Golf & Resort
301,Paraiso,CR,63.41,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
302,Clyde River,CA,41.23,clear sky,70.4692,-68.5914,Qamaq Hotel
303,Ballina,AU,62.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
304,Kenai,US,39.15,broken clouds,60.5544,-151.2583,Aspen Extended Stay Suites
305,Deputatskiy,RU,22.71,overcast clouds,69.3,139.9,Baza Otdykha
306,Qaqortoq,GL,51.42,overcast clouds,60.7167,-46.0333,Siniffik Inn
307,San-Pedro,CI,78.71,light rain,4.7485,-6.6363,Hotel Maria
308,Supaul,IN,81.39,overcast clouds,26.1167,86.6,Shri ram guest house
311,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
312,Palmer,US,55.18,broken clouds,42.1584,-72.3287,Wedgewood Motel
314,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
315,Mahon,ES,72.16,broken clouds,39.8885,4.2658,ARTIEM Capri
316,Chapais,CA,44.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
317,Umm Lajj,SA,92.52,overcast clouds,25.0213,37.2685,Moon light Furnished Units
319,Gaimersheim,DE,59.77,broken clouds,48.807,11.368,Der Heidehof
320,Xichang,CN,59.18,moderate rain,27.8964,102.2634,Xichang ibis Hotel
321,Orocue,CO,80.17,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
322,Victor Harbor,AU,55.69,light rain,-35.5667,138.6167,McCracken Country Club
323,Rio Novo,BR,67.41,overcast clouds,-21.4575,-43.1253,Pousada Nossa Terra
324,San Felipe,VE,81.57,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
326,Shimoda,JP,71.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
327,Coalinga,US,62.85,clear sky,36.1397,-120.3602,Royal Lodge Motel
328,Lander,US,57.79,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
329,Tebingtinggi,ID,76.59,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
330,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
331,Khanpur,PK,95.36,clear sky,28.6453,70.6567,Ahmad Bartan store
332,Dalby,AU,55.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
333,Sarangani,PH,81.93,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
334,Paciran,ID,82.76,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
337,Warwick,US,61.45,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
338,Shizilu,CN,62.78,overcast clouds,35.1711,118.8289,Shell Linyi Lvnan Bus Station Hotel
339,Novopavlovka,RU,39.45,overcast clouds,51.2172,109.2091,Vizit
340,Nome,US,39.27,broken clouds,64.5011,-165.4064,Dredge 7 Inn
341,San Policarpo,PH,79.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
342,Mount Gambier,AU,49.87,light rain,-37.8333,140.7667,The Commodore
343,Mbandaka,CD,86.34,overcast clouds,0.0487,18.2603,Guest House Epervier
344,Scottsbluff,US,44.83,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
345,Penzance,GB,64.76,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
346,Moree,AU,55.87,clear sky,-29.4667,149.85,Molika Springs Motel
349,Lensk,RU,31.91,overcast clouds,60.7253,114.9278,ТинОрС
350,Sungairaya,ID,77.81,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
351,Pishin,PK,80.65,clear sky,30.5803,66.9961,City Hotel Pishin
